date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:55	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2014%20Jan%202025%2013:34:56%20GMT	http://static1.squarespace.com/static/66bf56f904042f37893c3c18/675de36e6309386eab687402/675de36e6309386eab687403/1734812291421/FileStorage.DesignFile+16.png?format=1500w	C:/My%20Web%20Sites/luxery/static1.squarespace.com/static/66bf56f904042f37893c3c18/675de36e6309386eab687402/675de36e6309386eab687403/1734812291421/FileStorage.DesignFile+16.e426f7.delayed	(from https://luxury-barber.co.uk/blog/top-10-traending-mens-haircuts-for-2024)
13:34:55	133175/133175	---M--	200	added ('OK')	image/png	etag:CIKJ/LTQnokDEAE=	https://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/47188794-19cc-4ef0-a137-c8caccbd9d20/Black+%26+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post).png	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/47188794-19cc-4ef0-a137-c8caccbd9d20/Black+&+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post).png	(from https://luxury-barber.co.uk/shop)
13:34:57	1049912/1049912	---M--	200	added ('OK')	image/png	etag:CLzd7OTWuYoDEAE=	https://images.squarespace-cdn.com/content/66bf56f904042f37893c3c18/1734812117984-VDHWYZOH4SW863C69CVP/FileStorage.DesignFile+16.png?format=1500w&content-type=image%2Fpng	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/66bf56f904042f37893c3c18/1734812117984-VDHWYZOH4SW863C69CVP/FileStorage.DesignFile+162acd.png	(from https://luxury-barber.co.uk/blog/top-10-traending-mens-haircuts-for-2024)
13:34:59	123387/123387	---MCZ	200	added ('OK')	text/html	etag:W/%22dc561afa057a18a2a6116bbea5784f8d--gzip%22	https://luxury-barber.co.uk/blog?author=64bbc41623fe9d265243e88a	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/blog095b.html	(from https://luxury-barber.co.uk/blog/top-10-traending-mens-haircuts-for-2024)
13:35:04	135880/135880	---MCZ	200	added ('OK')	text/html	etag:W/%229a3f330048ab4394dd5640ef6f82f9a3--gzip%22	https://luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw-8m83j-3ek2d	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw-8m83j-3ek2d.html	(from https://luxury-barber.co.uk/shop)
13:35:06	24192/24192	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Mar%202024%2012:21:23%20GMT	https://assets.squarewebsites.org/custom-filter/custom-filter-admin.js?ver=	C:/My%20Web%20Sites/luxery/assets.squarewebsites.org/custom-filter/custom-filter-admine9d4.js	(from https://assets.squarewebsites.org/custom-filter/custom-filter.min.js)
13:35:12	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2014%20Jan%202025%2013:35:13%20GMT	http://static1.squarespace.com/static/66bf56f904042f37893c3c18/66bf8ff6c9ceb6413cc6f4c0/6715d4ab9955481e682dd200/1729484786085/Black+%26+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post).png?format=1500w	C:/My%20Web%20Sites/luxery/static1.squarespace.com/static/66bf56f904042f37893c3c18/66bf8ff6c9ceb6413cc6f4c0/6715d4ab9955481e682dd200/1729484786085/Black+&+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post).e826f7.delayed	(from https://luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw-8m83j)
13:35:15	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2014%20Jan%202025%2013:35:15%20GMT	http://static1.squarespace.com/static/66bf56f904042f37893c3c18/66bf8ff6c9ceb6413cc6f4c0/6715d46c8692445dd1fffb6b/1729484795707/Black+%26+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post).png?format=1500w	C:/My%20Web%20Sites/luxery/static1.squarespace.com/static/66bf56f904042f37893c3c18/66bf8ff6c9ceb6413cc6f4c0/6715d46c8692445dd1fffb6b/1729484795707/Black+&+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post)26f7.png	(from https://luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw)
13:35:16	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2014%20Jan%202025%2013:35:16%20GMT	http://static1.squarespace.com/static/66bf56f904042f37893c3c18/66bf8ff6c9ceb6413cc6f4c0/6715d46c8692445dd1fffb6b/1729484795707/Black+%26+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post).png?format=1500w	C:/My%20Web%20Sites/luxery/static1.squarespace.com/static/66bf56f904042f37893c3c18/66bf8ff6c9ceb6413cc6f4c0/6715d46c8692445dd1fffb6b/1729484795707/Black+&+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post)26f7.png	(from https://luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw)
13:35:17	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2014%20Jan%202025%2013:35:17%20GMT	http://static1.squarespace.com/static/66bf56f904042f37893c3c18/66bf8ff6c9ceb6413cc6f4c0/6715d46c8692445dd1fffb6b/1729484795707/Black+%26+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post).png?format=1500w	C:/My%20Web%20Sites/luxery/static1.squarespace.com/static/66bf56f904042f37893c3c18/66bf8ff6c9ceb6413cc6f4c0/6715d46c8692445dd1fffb6b/1729484795707/Black+&+Tan+Minimalist+Barber+Shop+Business+Card+(Instagram+Post)26f7.png	(from https://luxury-barber.co.uk/shop/p/usia7ywt74exoup9apcmi56klpo3q3-89wgt-ajfbw)
